item_no,quantity,unit,description,menu_types,tax,unit_price,amount,date,produce_company,size,invoice_no,month,num_days
ca72,1.0,No Unit,823NV MILK CALLETS BELGIUM,Drinks,N,$28.75,$28.75,12/1/2020,Produce4,No Size,71569473,12,31
CA71,1.0,No Unit,811NV DARK CHOCOLATE CALLETS,Drinks,N,$26.50,$26.50,12/1/2020,Produce4,No Size,71569473,12,31
BSGTUNG,1.0,No Unit,GUYS-TUSCANY COUNTRY VEG SOUP,Food,N,$37.85,$37.85,12/1/2020,Produce4,No Size,71569473,12,31
SN04019,1.0,No Unit,MUFF BATT CINNAMON COFF 19727,Pastry,N,$29.50,$29.50,12/1/2020,Produce4,No Size,71569473,12,31
SN01598,1.0,No Unit,MUFF BATT CHOCOLATE CHIP 19705,Pastry,N,$27.25,$27.25,12/1/2020,Produce4,No Size,71569473,12,31
STY2767,1.0,No Unit,"BREAD SOURDOUGH 5/8"" SLICED HS",Food,N,$31.23,$31.23,12/1/2020,Produce4,No Size,71569473,12,31
STY2793,2.0,No Unit,BUN HAMBURGER BRIOCHE SLICED,Food,N,$31.65,$63.30,12/1/2020,Produce4,No Size,71569473,12,31
PBF20,1.0,No Unit,MAGEL PLAIN SLICED 4OZ PBF,Food,N,$22.88,$22.88,12/1/2020,Produce4,No Size,71569473,12,31
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,12/1/2020,Produce4,No Size,71569473,12,31
WS01786,2.0,No Unit,MPL LF SHREDDED CHICKEN 4X1,Food,N,$89.99,$179.98,12/2/2020,Meat1,135KG/CS,20928,12,31
WS2143,4.0,No Unit,BEEF ROAST COOKED BL GSE OR SLCD PER KG,Food,N,$28.90,$115.60,12/2/2020,Meat1,No Size,20928,12,31
WS3678,1.0,unit,fuel surcharge,Food,G,$5.99,$6.29,12/2/2020,Meat1,No Size,20928,12,31
No_Item_No,2.0,bag,Arrugula/Rucola/Rocket 1# bag yvr,Food,N,$12.95,$25.90,12/2/2020,Produce1,No Size,894091,12,31
No_Item_No,1.0,pkg,herb Thyme 2 oz pkg eh,Food,N,$3.75,$3.75,12/2/2020,Produce1,No Size,894091,12,31
TT-PHCL-D90B,1.0,CS,90mm DOME LID for 10-24oz PAPER HOT CUP - BLACK,Drinks,G,$33.75,$35.44,12/2/2020,Produce6,1000/CS,175279,12,31
EP-#N8W,1.0,CS,#8 EARTHPAK 44OZ PAPER FOOD BOX - WHITE,Food,G,$61.48,$64.55,12/2/2020,Produce6,300PC,175197,12,31
TT-PCJJ-PLN,1.0,CS,INSULATED PAPER CUP SLEEVE - PLAIN,Drinks,G,$36.88,$38.72,12/2/2020,Produce6,1000/CS,175197,12,31
MON-VAN,1.0,BTL,MONIN - VANILLA SYRUP 750ml,Drinks,N,$8.80,$8.80,12/2/2020,Produce6,12/CS,175197,12,31
MON-CAR,1.0,BTL,MONIN - CARAMEL SYRUP 750ml,Drinks,N,$8.80,$8.80,12/2/2020,Produce6,12/CS,175197,12,31
202,2.0,each,K Loaf Banana Cut,Pastry,N,$6.09,$12.18,12/2/2020,Pastry1,No Size,350299,12,31
238,2.0,each,K Loaf Lemon Cut,Pastry,N,$6.96,$13.92,12/2/2020,Pastry1,No Size,350299,12,31
57,2.0,each,K Loaf Red Velvet Cut,Pastry,N,$6.96,$13.92,12/2/2020,Pastry1,No Size,350299,12,31
602,0.5,doz,P Ind. Carrot Cake,Pastry,N,$35.40,$17.70,12/2/2020,Pastry1,No Size,350299,12,31
622,1.0,doz,P Ind. Lava Cake,Pastry,N,$31.80,$31.80,12/2/2020,Pastry1,No Size,350299,12,31
767,1.0,doz,"P Tartlets 4"" French Butter",Pastry,N,$16.20,$16.20,12/2/2020,Pastry1,No Size,350299,12,31
30,1.0,box,K xHoliday Baking Box,Pastry,N,$17.64,$17.64,12/2/2020,Pastry1,No Size,350299,12,31
21,1.0,pkg,K xCookie Shortbread Fingers 32p,Pastry,N,$15.04,$15.04,12/2/2020,Pastry1,No Size,350299,12,31
101,1.0,doz,K GF Bar Belgian Brownies,Pastry,N,$14.40,$14.40,12/2/2020,Pastry1,No Size,350299,12,31
CA71,1.0,No Unit,811NV DARK CHOCOLATE CALLETS,Drinks,N,$26.50,$26.50,12/4/2020,Produce4,No Size,71571312,12,31
BSHZIM10,1.0,No Unit,GUYS-ZIMBABWE PEANUT/YAM SOUP,Food,N,$37.85,$37.85,12/4/2020,Produce4,No Size,71571312,12,31
BR59040,1.0,No Unit,CROISSANT CHOCOLATE BUTTER RTB,Pastry,N,$66.14,$66.14,12/4/2020,Produce4,No Size,71571312,12,31
SN01599,1.0,No Unit,MUFF BATT DBL CHOC CHIP 19706,Pastry,N,$27.25,$27.25,12/4/2020,Produce4,No Size,71571312,12,31
DD17539,1.0,No Unit,CROISSANT LARGE ALL BUTTER,Pastry,N,$40.56,$40.56,12/4/2020,Produce4,No Size,71571312,12,31
STY2767,1.0,No Unit,"BREAD SOURDOUGH 5/8"" SLICED HS",Food,N,$31.23,$31.23,12/4/2020,Produce4,No Size,71571312,12,31
STY2793,1.0,No Unit,BUN HAMBURGER BRIOCHE SLICED,Food,N,$31.65,$31.65,12/4/2020,Produce4,No Size,71571312,12,31
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,12/4/2020,Produce4,No Size,71571312,12,31
G-RAW-ROG,1.0,CS,12763 3.5KGS ROGERS - PLANTATION RAW SUGAR PORTIONS 3.5g,Drinks,N,$26.50,$26.50,12/4/2020,Produce6,1000/CS,175485,12,31
PHI-GIN,24.0,CS,PHILLIPS SODA WORKS - SPARKMOUTH GINGER ALE 341M,Drinks,G,$1.42,$35.87,12/4/2020,Produce6,"6/PK, 4PK/CS",175485,12,31
TT-GB2636,1.0,CS,"26x36"" REGULAR GARBAGE BAG - BLACK",Others,S,$23.82,$26.68,12/4/2020,Produce6,250/CS,175485,12,31
PT-MFTK0905,1.0,CS,TORK 424824 / MFTK0905 MOTIF MULTIFOLD TOWEL (KRAFT),Others,S,$26.05,$29.18,12/4/2020,Produce6,4008/CS,175485,12,31
EP-013P,1.0,CS,"9"" SUGARCANE PLATE",Food,G,$47.08,$49.43,12/4/2020,Produce6,500/CS,175485,12,31
EP-STIR7,1.0,BOX,"7"" WOODEN STIR STICKS",Drinks,G,$5.10,$5.36,12/4/2020,Produce6,"1000/BOX, 10BOX/CS",175485,12,31
TT-KBI20W,1.0,BDL,"001240 - #20 WHITE PAPER BAG - HEAVY - 8.19x5.06x15.88""",Others,G,$41.00,$43.05,12/4/2020,Produce6,500/BDL,175518,12,31
No_Item_No,7.0,pound,**2 HEADS** RED Cabbage BC /pound,Food,N,$0.90,$6.30,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,1.0,head,Celery Cal 24 /head,Food,N,$1.60,$1.60,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,3.0,head,Cucumber LE Mex head,Food,N,$1.90,$5.70,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,6.0,bunch,Green Kale Mex / bunch,Food,N,$1.35,$8.10,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,2.0,bunch,Leeks BC / bunch,Food,N,$4.45,$8.90,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,1.0,lot,Organic Spring Mix UCa UCa 2x1#,Food,N,$16.95,$16.95,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,2.0,bag,Jumbo Onion UWa 5# / bag,Food,N,$2.50,$5.00,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,2.0,bag,Red ONion Jumbo 5# bag,Food,N,$4.50,$9.00,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,4.0,pkg,Tomato Cheery Cdn/US 1pt,Food,N,$3.20,$12.80,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,14.0,pound,**40 HEADS** Roma Tomato Mex / pound,Food,N,$1.55,$21.70,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,1.0,pound,Cilantro US bunch,Food,N,$0.80,$0.80,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,2.0,bag,Arrugula/Rucola/Rocket 1# bag yvr,Food,N,$12.95,$25.90,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,1.0,case,Avocado Hass 20 *Turning*,Food,N,$28.00,$28.00,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,12/8/2020,Produce1,No Size,894542,12,31
No_Item_No,17.0,No Unit,Diabolique Espresso Wholesale lbs,Drinks,N,$11.00,$187.00,12/9/2020,Coffee3,"3x5lb, 2x1lb",29613,12,31
No_Item_No,12.0,No Unit,The Perfect Storm Wholesale lbs,Drinks,N,$11.00,$132.00,12/9/2020,Coffee3,"2x5lb, 2x1lb",29613,12,31
No_Item_No,2.0,No Unit,Decaf Wholesale lbs,Drinks,N,$12.50,$25.00,12/9/2020,Coffee3,2x1lb,29613,12,31
No_Item_No,2.0,No Unit,Christmas Blend Wholesale lbs,Drinks,N,$11.00,$22.00,12/9/2020,Coffee3,2x1lb,29613,12,31
BSHTUSC11,1.0,No Unit,GUYS-TUSCANY COUNTRY VEG SOUP,Food,N,$37.85,$37.85,12/9/2020,Produce4,4/64OZ,71573018,12,31
SN01611,1.0,No Unit,MUFF BATT MAPLE WALNUT 19720,Pastry,N,$29.50,$29.50,12/9/2020,Produce4,16LB,71573018,12,31
SN01604,1.0,No Unit,MUFF BATT ORANGE CRANB 19711,Pastry,N,$27.25,$27.25,12/9/2020,Produce4,16LB,71573018,12,31
SN01602,1.0,No Unit,MUFF BATT CARROT 19709,Pastry,N,$27.25,$27.25,12/9/2020,Produce4,16LB,71573018,12,31
SN04019,1.0,No Unit,MUFF BATT CINNAMON COFF 19727,Pastry,N,$29.50,$29.50,12/9/2020,Produce4,16LB,71573018,12,31
STY2767,1.0,No Unit,"BREAD SOURDOUGH 5/8"" SLICED HS",Food,N,$31.23,$31.23,12/9/2020,Produce4,8/950G,71573018,12,31
STY2793,1.0,No Unit,BUN HAMBURGER BRIOCHE SLICED,Food,N,$31.54,$31.54,12/9/2020,Produce4,8X8/85G,71573018,12,31
MC4537,1.0,No Unit,STREUSEL TOPPING MC,Pastry,N,$37.58,$37.58,12/9/2020,Produce4,7.5KG,71573018,12,31
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,12/9/2020,Produce4,No Size,71573018,12,31
EARTH'S OWN-B,12.0,CS,EARTH'S OWN OAT - BARISTA BLEND 946ML,Drinks,N,$3.80,$45.60,12/9/2020,Produce6,12/CS,175870,12,31
PAC-ALM,12.0,CS,PACIFIC - BARISTA SERIES ORGANIC ALMOND MILK (32oz),Drinks,N,$3.72,$44.64,12/9/2020,Produce6,12/CS,175870,12,31
TT-HTB16,1.0,CS,16oz PETE CLEAR COLD CUP,Drinks,G,$83.48,$87.65,12/9/2020,Produce6,1000/CS,175870,12,31
EP-55B,1.0,CS,"5X5X3"" SUGARCANE CLAMSHELL",Food,G,$61.47,$64.54,12/9/2020,Produce6,500/CS,175870,12,31
MON-CAR,1.0,BTL,MONIN - CARAMEL SYRUP 750ml,Drinks,N,$8.80,$8.80,12/9/2020,Produce6,12/CS,175870,12,31
MON-VAN,1.0,BTL,MONIN - VANILLA SYRUP 750ml,Drinks,N,$8.80,$8.80,12/9/2020,Produce6,12/CS,175870,12,31
622,1.0,doz,P Ind. Lava Cake,Pastry,N,$31.80,$31.80,12/9/2020,Pastry1,No Size,350442,12,31
602,1.0,doz,P Ind. Carrot Cake,Pastry,N,$35.40,$35.40,12/9/2020,Pastry1,No Size,350442,12,31
202,2.0,each,K Loaf Banana Cut,Pastry,N,$6.09,$12.18,12/9/2020,Pastry1,No Size,350442,12,31
238,2.0,each,K Loaf Lemon Cut,Pastry,N,$6.96,$13.92,12/9/2020,Pastry1,No Size,350442,12,31
30,1.0,box,K xHoliday Baking Box,Pastry,N,$17.64,$17.64,12/9/2020,Pastry1,No Size,350442,12,31
21,1.0,pkg,K xCookie Shortbread Fingers 32p,Pastry,N,$15.04,$15.04,12/9/2020,Pastry1,No Size,350442,12,31
781,0.5,doz,"P GF Tarlets 4"" Venus Hazelnut",Pastry,N,$25.20,$12.60,12/9/2020,Pastry1,No Size,350442,12,31
101,0.5,doz,K GF Bar Belgian Brownies,Pastry,N,$14.40,$7.20,12/9/2020,Pastry1,No Size,350442,12,31
767,0.5,doz,"P Tartlets 4"" French Butter",Pastry,N,$16.20,$8.10,12/9/2020,Pastry1,No Size,350442,12,31
WS01786,1.0,No Unit,MPL LF SHREDDED CHICKEN 4X1,Food,N,$89.99,$89.99,12/10/2020,Meat1,4X1.135KG/CS,21610,12,31
WS2143,4.01,No Unit,BEEF ROAST COOKED BL GSE OR SLCD PER KG,Food,N,$28.90,$115.89,12/10/2020,Meat1,No Size,21610,12,31
WS3677,1.0,unit,fuel surcharge,Food,G,$7.99,$8.39,12/10/2020,Meat1,No Size,21610,12,31
EARTH'S OWN-B,12.0,CS,EARTH'S OWN OAT - BARISTA BLEND 946ML,Drinks,N,$3.80,$45.60,12/11/2020,Produce6,No Size,176093,12,31
TT-PHCL-D90B,1.0,CS,90mm DOME LID for 10-24oz PAPER HOT CUP - BLACK,Drinks,G,$33.75,$35.44,12/11/2020,Produce6,No Size,176093,12,31
TT-BBN96,1.0,CS,BBN96oz BARISTA BOX,Drinks,G,$145.75,$153.04,12/11/2020,Produce6,No Size,176093,12,31
MON-CAR,1.0,BTL,MONIN - CARAMEL SYRUP 750ml,Drinks,N,$8.80,$8.80,12/11/2020,Produce6,No Size,176093,12,31
MON-VAN,1.0,BTL,MONIN - VANILLA SYRUP 750ml,Drinks,N,$8.80,$8.80,12/11/2020,Produce6,No Size,176093,12,31
PT-MFTK0905,1.0,CS,TORK 424824 / MFTK0905 MOTIF MULTIFOLD TOWEL (KRAFT),Others,S,$26.05,$29.18,12/11/2020,Produce6,No Size,176093,12,31
562082,6.0,pkg,Salmon-Sockeye-Smoked-Blk,Food,N,$35.00,$210.00,12/11/2020,Produce5,9.47LBS,427791,12,31
No_Item_No,4.0,No Unit,Christmas Blend Wholesale lbs,Drinks,N,$11.00,$44.00,12/14/2020,Coffee3,4x1lb,29803,12,31
No_Item_No,4.0,No Unit,Diabolique Espresso Wholesale lbs,Drinks,N,$11.00,$44.00,12/14/2020,Coffee3,4x1lb,29803,12,31
No_Item_No,2.0,No Unit,Terra Azure Wholesale lbs,Drinks,N,$11.00,$22.00,12/14/2020,Coffee3,2x1lb,29803,12,31
622,1.0,doz,P Ind. Lava Cake,Pastry,N,$31.80,$31.80,12/14/2020,Pastry1,No Size,350501,12,31
21,5.0,pkg,K xCookie Shortbread Fingers 32p,Pastry,N,$15.04,$75.20,12/14/2020,Pastry1,No Size,350501,12,31
30,1.0,box,K xHoliday Baking Box,Pastry,N,$17.64,$17.64,12/14/2020,Pastry1,No Size,350501,12,31
767,1.0,doz,"P Tartlets 4"" French Butter",Pastry,N,$16.20,$16.20,12/14/2020,Pastry1,No Size,350501,12,31
101,0.5,doz,K GF Bar Belgian Brownies,Pastry,N,$14.40,$7.20,12/14/2020,Pastry1,No Size,350501,12,31
132,0.5,doz,K Bars Blueberry Oat,Pastry,N,$12.00,$6.00,12/14/2020,Pastry1,No Size,350501,12,31
602,1.0,No Unit,P Ind. Carrot Cake,Pastry,N,$35.40,$35.40,12/14/2020,Pastry1,No Size,350515,12,31
No_Item_No,2.0,bag,Jumbo Onion UWa 5# / bag,Food,N,$2.50,$5.00,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,2.0,bag,Red ONion Jumbo 5# bag,Food,N,$4.50,$9.00,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,10.0,pound,Sweet Potato Jumbo UCa /pound,Food,N,$1.30,$13.00,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,1.0,bag,Red Pepper HH Mex 3# bag,Food,N,$13.35,$13.35,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,3.0,head,Cucumber LE Mex head,Food,N,$1.40,$4.20,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,4.0,pkg,Tomato Cheery Cdn/US 1pt,Food,N,$3.20,$12.80,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,9.0,pound,**40 HEADS** Roma Tomato Mex / pound,Food,N,$1.90,$17.10,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,2.0,bunch,Leeks BC / bunch,Food,N,$3.75,$7.50,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,2.0,bunch,Cilantro US bunch,Food,N,$0.70,$1.30,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,2.0,bag,Arrugula/Rucola/Rocket 1# bag yvr,Food,N,$12.95,$25.90,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,1.0,case,Avocado Hass 20 *Turning*,Food,N,$28.00,$28.00,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,1.0,lot,Organic Spring Mix UCa UCa 2x1#,Food,N,$16.95,$16.95,12/15/2020,Produce1,No Size,895104,12,31
No_Item_No,1.0,unit,fuel charge,Food,G,$3.00,$3.15,12/15/2020,Produce1,No Size,895104,12,31
ca72,2.0,No Unit,823NV MILK CALLETS BELGIUM,Drinks,N,$28.75,$57.50,12/15/2020,Produce4,2.5kg,71575758,12,31
BSHZIM10,1.0,No Unit,GUYS-ZIMBABWE PEANUT/YAM SOUP,Food,N,$37.85,$37.85,12/15/2020,Produce4,4/640,71575758,12,31
SN01610,1.0,No Unit,MUFF BATT RASPBERRY SWIR,Pastry,N,$29.50,$29.50,12/15/2020,Produce4,16lb,71575758,12,31
STY2767,1.0,No Unit,"BREAD SOURDOUGH 5/8"" SLICED HS",Food,N,$31.23,$31.23,12/15/2020,Produce4,8/950g,71575758,12,31
STY2793,1.0,No Unit,BUN HAMBURGER BRIOCHE SLICED,Food,N,$31.65,$31.65,12/15/2020,Produce4,8X8/85G,71575758,12,31
ML21913,1.0,No Unit,BACON SLICES CRIPS PRE-COOKED,Food,N,$78.90,$78.90,12/15/2020,Produce4,300pc,71575758,12,31
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,12/15/2020,Produce4,No Size,71575758,12,31
EP-#N8W,1.0,CS,#8 EARTHPAK 44OZ PAPER FOOD BOX - WHITE,Food,G,$61.48,$64.55,12/15/2020,Produce6,300PC,176331,12,31
G-SPLD,1.0,CS,SPLENDA SWEETNER 1g,Drinks,N,$48.15,$48.15,12/15/2020,Produce6,2000/CS,176331,12,31
MON-PMINT,1.0,BTL,MONIN - PEPPERMINT SYRUP (750ml),Drinks,N,$8.80,$8.80,12/15/2020,Produce6,12/CS,176331,12,31
MON-LEM,1.0,BTL,MONIN - LEMON SYRUP (750ml),Drinks,N,$8.80,$8.80,12/15/2020,Produce6,12/CS,176331,12,31
DET-ZAAL-HD20,1.0,DRUM,FF-ZA-M1-002 ZAAL MACHINE DISH HIGH TEM. (20L) without CHLORINE,Others,G,$39.39,$41.36,12/15/2020,Produce6,20L,176331,12,31
TT-GL-TPEM,1.0,BOX,"38002 KINPACK TPE DISPOSABEL GLOVES, LLPDE + ELASTOMER, CLEAR - MEDIUM",Others,G,$9.54,$10.02,12/15/2020,Produce6,200/BOX,176331,12,31
TT-KBI20W,1.0,BDL,"001240 - #20 WHITE PAPER BAG - HEAVY - 8.19x5.06x15.88"" (500/BDL)",Others,G,$41.00,$43.05,12/17/2020,Produce6,500/BDL,176561,12,31
TT-CU-6KNF,1.0,CS,"6"" PLASTIC KNIFE",Food,G,$10.45,$10.97,12/17/2020,Produce6,1000/CS,176561,12,31
TT-CU-6FRK,1.0,CS,"6"" PLASTIC FORK",Food,G,$10.45,$10.97,12/17/2020,Produce6,1000/CS,176561,12,31
EP-MSSC12,1.0,CS,12OZ COMPOSTABLE PAPER SOUP CUP - MAPLE STRIPE,Drinks,G,$59.95,$62.95,12/18/2020,Produce6,500/CS,176711,12,31
EP-BSCL115,1.0,CS,115mm COMPOSTABLE VENT LID FOR SOUP CUP,Food,G,$70.95,$74.50,12/18/2020,Produce6,500/CS,176711,12,31
EARTH'S OWN-B,12.0,CS,EARTH'S OWN OAT - BARISTA BLEND 946ML,Drinks,N,$3.80,$45.60,12/18/2020,Produce6,12/CS,176711,12,31
TT-PCJJ-PLN,1.0,CS,INSULATED PAPER CUP SLEEVE - PLAIN,Drinks,G,$36.88,$38.72,12/18/2020,Produce6,1000/CS,176711,12,31
622,1.0,doz,P. Ind. Lava Cake,Pastry,N,$31.80,$31.80,12/18/2020,Pastry1,No Size,350611,12,31
101,0.5,doz,K GF Bar Belgian Brownies,Pastry,N,$14.40,$7.20,12/18/2020,Pastry1,No Size,350611,12,31
238,2.0,each,K Loaf Lemon Cut,Pastry,N,$6.96,$13.92,12/18/2020,Pastry1,No Size,350611,12,31
202,2.0,each,K Loaf Banana Cut,Pastry,N,$6.09,$12.18,12/18/2020,Pastry1,No Size,350611,12,31
30,1.0,box,K xHoliday Baking Box,Pastry,N,$17.64,$17.64,12/18/2020,Pastry1,No Size,350611,12,31
408,2.0,each,P Buffet: Choc. Baileys Cake C14,Pastry,N,$16.95,$33.90,12/18/2020,Pastry1,No Size,350611,12,31
57,1.0,each,K Loaf Red Velvet Cut,Pastry,N,$6.96,$6.96,12/18/2020,Pastry1,No Size,350611,12,31
115,1.0,doz,K Bars Old Fashion Lemon,Pastry,N,$13.92,$13.92,12/18/2020,Pastry1,No Size,350611,12,31
132,0.5,doz,K Bars Blueberry Oat,Pastry,N,$12.00,$6.00,12/18/2020,Pastry1,No Size,350611,12,31
757,0.5,doz,"P Tartlets 4"" French Butter",Pastry,N,$16.20,$8.10,12/18/2020,Pastry1,No Size,350611,12,31
No_Item_No,18.0,No Unit,Diabolique Espresso Wholesale lbs,Drinks,N,$11.00,$198.00,12/21/2020,Coffee3,"3x15lb, 3x1lb",30031,12,31
No_Item_No,18.0,No Unit,The Perfect Storm Wholesale lbs,Drinks,N,$11.00,$198.00,12/21/2020,Coffee3,"3x15lb, 3x1lb",30031,12,31
No_Item_No,2.0,No Unit,Decaf Wholesale lbs,Drinks,N,$12.50,$25.00,12/21/2020,Coffee3,2x1lb,30031,12,31
WS2143,5.112,No Unit,BEEF ROAST COOKED BL GSE OR SLCD PER KG,Food,N,$28.90,$147.74,12/22/2020,Meat1,No Size,22679,12,31
WS3677,1.0,unit,fuel surcharge,Food,G,$7.99,$8.39,12/22/2020,Meat1,No Size,22679,12,31
Ca72,1.0,No Unit,823 MILK CALLETS BELGIUM,Drinks,N,$28.75,$28.75,12/22/2020,Produce4,2.5kg,71579151,12,31
CA71,2.0,No Unit,811NV DARK CHOCOLATE CALLETS,Drinks,N,$26.50,$53.00,12/22/2020,Produce4,2.5kg,71579151,12,31
BSHTUSC11,1.0,No Unit,GUYS-TUSCANY COUNTRY VEG SOUP,Food,N,$37.85,$37.85,12/22/2020,Produce4,4/64OZ,71579151,12,31
SN01611,1.0,No Unit,MUFF BATT MAPLE WALNUT 19720,Pastry,N,$29.50,$29.50,12/22/2020,Produce4,16LB,71579151,12,31
SN01599,1.0,No Unit,MUFF BATT DBL CHOC CHIP 19706,Pastry,N,$27.25,$27.25,12/22/2020,Produce4,16LB,71579151,12,31
SN04019,1.0,No Unit,MUFF BATT CINNAMON COFF 19727,Pastry,N,$29.50,$29.50,12/22/2020,Produce4,16LB,71579151,12,31
STY2767,1.0,No Unit,"BREAD SOURDOUGH 5/8"" SLICED HS",Food,N,$31.23,$31.23,12/22/2020,Produce4,8/950G,71579151,12,31
STY2793,1.0,No Unit,BUN HAMBURGER BRIOCHE SLICED,Food,N,$31.65,$31.65,12/22/2020,Produce4,8X8//85G,71579151,12,31
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,12/22/2020,Produce4,No Size,71579151,12,31
No_Item_No,1.0,head,Celery Cal 24 /head,Food,N,$2.10,$2.10,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,3.0,head,Cucumber LE Mex head,Food,N,$1.73,$5.19,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.00,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,2.0,bunch,Green Kale Mex / bunch,Food,N,$1.35,$2.79,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,1.0,lot,Organic Spring Mix UCa UCa 2x1#,Food,N,$16.95,$16.95,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,2.0,bag,Red Onion Jumbo 5# bag,Food,N,$4.50,$9.00,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,1.0,bag,Red Pepper HH Mex 3# bag,Food,N,$13.35,$13.35,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,11.0,pound,Sweet Potato Jumbo UCa /pound,Food,N,$1.30,$14.30,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,9.0,pound,**40 HEADS** Roma Tomato Mex / pound,Food,N,$2.20,$19.80,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,2.0,bunch,Cilantro US bunch,Food,N,$0.70,$1.40,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,2.0,bag,Arrugula/Rucola/Rocket 1# bag yvr,Food,N,$12.95,$25.90,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,1.0,PKG,herb Thyme 2 oz pkg eh,Food,N,$3.75,$3.75,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,1.0,CASE,Avocado Hass 20 *Turning*,Food,N,$28.00,$28.00,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,1.0,jug,vinegar White Heinz 5% 5L Jug,Food,N,$5.60,$5.60,12/23/2020,Produce1,No Size,895714,12,31
No_Item_No,2.0,jug,4 Monks Red Wine vinegar 2.78L tol,Food,N,$11.75,$23.50,12/23/2020,Produce1,No Size,895714,12,31
TT-PHC-16X,1.0,CS,16oz PAPER HOT CUP - WHITE,Drinks,G,$64.22,$67.43,12/29/2020,Produce6,1000/CS,177347,12,31
TT-PHC-12W,1.0,CS,12oz PAPER HOT CUP - WHITE,Drinks,G,$55.69,$58.47,12/29/2020,Produce6,1000/CS,177347,12,31
TT-PHCL-D90B,1.0,CS,90mm DOME LID for 10-24OZ PAPER HOT CUP - BLACK,Drinks,G,$33.75,$35.44,12/29/2020,Produce6,1000/CS,177347,12,31
TT-HTB98DL,1.0,CS,98mm PETE DOME LID (for 14/16/20/24oz),Drinks,G,$36.28,$38.09,12/29/2020,Produce6,1000/CS,177347,12,31
TT-HTB98FL,1.0,CS,98mm PETE FLAT LID (for 14/16/20/24oz),Drinks,G,$32.35,$33.97,12/29/2020,Produce6,1000/CS,177347,12,31
PT-MFTK0905,1.0,CS,TORK 424824 / MFTK0905 MOTIF MULTIFOLD TOWEL (KRAFT),Others,S,$26.05,$29.18,12/29/2020,Produce6,4008/CS,177347,12,31
MON-CAR,1.0,BTL,MONIN - CARAMEL SYRUP 750ml,Drinks,N,$8.80,$8.80,12/29/2020,Produce6,12/CS,177347,12,31
BSHIND2,1.0,No Unit,GUYS-INDIA CURRIED LENTIL SOUP,Food,N,$37.85,$37.85,12/30/2020,Produce4,4/64OZ,71581797,12,31
BSHTUSC11,1.0,No Unit,GUYS-TUSCANY COUNTRY VEG SOUP,Food,N,$37.85,$37.85,12/30/2020,Produce4,4/64OZ,71581797,12,31
SN01604,1.0,No Unit,MUFF BATT ORANGE CRANB 19711,Pastry,N,$27.25,$27.25,12/30/2020,Produce4,16LB,71581797,12,31
SN01599,1.0,No Unit,MUFF BATT DBL CHOC CHIP 19706,Pastry,N,$27.25,$27.25,12/30/2020,Produce4,16LB,71581797,12,31
